description,date,category_title,amount,note
1Q-3006,May 31 2025,ဝင်ငွေ,10000
29 30 31,May 31 2025,လုပ်သားခ,48000
4D-3585,May 29 2025,ပစ္စည်းဝယ်,91000
4D-3585,May 29 2025,ဝင်ငွေ,110000
28 29,May 29 2025,လုပ်သားခ,32000
5H-4242,May 27 2025,ပစ္စည်းဝယ်,230000
5H-4242,May 27 2025,ဝင်ငွေ,570000
26 27,May 27 2025,လုပ်သားခ,32000
Super custom N/DGN,May 25 2025,ဝင်ငွေ,100000
23 24 daily,May 24 2025,လုပ်သားခ,32000
9N-8967,May 23 2025,ပစ္စည်းဝယ်,572000
9N-8967,May 22 2025,ဝင်ငွေ,750000
7R-5705,May 21 2025,ဝင်ငွေ,15000
Daily 20 21,May 21 2025,လုပ်သားခ,32000
Daily,May 19 2025,လုပ်သားခ,16000
2K-4593,May 19 2025,ဝင်ငွေ,30000
9E-6254,May 19 2025,ဝင်ငွေ,50000,ဦးစိုးကြီး ဂီယာဘောက်ချ
DAily,May 18 2025,လုပ်သားခ,16000
5F-9854,May 18 2025,ဝင်ငွေ,10000
Daily12 13 14 15 16 17,May 17 2025,လုပ်သားခ,80000
92 max sml,May 12 2025,ဆီဖိုး,50000
Msub 6လစာဝယ်,May 11 2025,သုံးငွေ,15000
မိန်းမ cosmetic,May 11 2025,သုံးငွေ,15000
Oil change,May 10 2025,ဝင်ငွေ,5000
မိန်းမကိုအပ်,May 9 2025,မိန်းမအပ်ငွေ,100000
ဆီ,May 8 2025,ဆီဖိုး,50000
7M-4355,May 8 2025,ပစ္စည်းဝယ်,1175000
7M-4355,May 8 2025,ဝင်ငွေ,1400000,Vg transmission
234567 daily,May 7 2025,လုပ်သားခ,90000
1G-6709,May 3 2025,ပစ္စည်းဝယ်,85000
1G-6709,May 3 2025,ဝင်ငွေ,107000
ဆီ,April 30 2025,ဆီဖိုး,150000
မိန်းမကိုအပ်,April 30 2025,မိန်းမအပ်ငွေ,700000
Bonus,April 30 2025,လုပ်သားခ,140000,5&5&4
ကျော်နိုင် ဖက်တီး လစာ,April 30 2025,လုပ်သားခ,850000
7M-4355,April 30 2025,ပစ္စည်းဝယ်,310000
7M-4355,April 30 2025,ဝင်ငွေ,2,350000,VNguard
282930 daily,April 30 2025,လုပ်သားခ,45000
Daily,April 28 2025,လုပ်သားခ,15000
2C-3388,April 28 2025,ပစ္စည်းဝယ်,167000
2C-3388,April 28 2025,ဝင်ငွေ,235000,Eo tappet seal plug atf case clean
1R-8362,April 27 2025,ဝင်ငွေ,25000
24252627 daily,April 27 2025,လုပ်သားခ,60000
4N-8736,April 24 2025,ဝင်ငွေ,5000
6I-6506,April 23 2025,ဝင်ငွေ,85000,ပလပ်ကြိုး ဆီပန့်
20212223,April 23 2025,လုပ်သားခ,60000
4I-9366,April 20 2025,ပစ္စည်းဝယ်,165000
4I-9336,April 20 2025,ဝင်ငွေ,240000,Wiper, window ရေကာ ဂတစ်ဖြည့်
သင်္ကြန်မုန့်ဖိုး,April 11 2025,သုံးငွေ,170000
သံတိုသံစ,April 11 2025,သံတိုသံစအခြားရောင်းရငွေ,200000
EO အဟောင်းရောင်း,April 11 2025,သံတိုသံစအခြားရောင်းရငွေ,280000
မဟာဝိဟာရ Townace,April 11 2025,ပစ္စည်းဝယ်,208000
မဟာဝိဟာရ Townace,April 11 2025,ဝင်ငွေ,370000,F brake pad plug fuel filter o2
Daily,April 10 2025,လုပ်သားခ,15000
7E-5278,April 10 2025,ပစ္စည်းဝယ်,345000
7E-5278,April 10 2025,ဝင်ငွေ,425000,Ipu fan
1K-4258,April 10 2025,ပစ္စည်းဝယ်,149000
1K-4258,April 10 2025,ဝင်ငွေ,282000,Plug pump pump filter tappet seal
Daily,April 9 2025,လုပ်သားခ,15000
2K-8105,April 9 2025,ပစ္စည်းဝယ်,259000
2K-8105,April 9 2025,ဝင်ငွေ,330000,EO, tie rod. Front brake pad tappet seal
